rank,platform,asin,title,brand,seller,price_usd,price_bucket_2usd,rating,reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct,height_group,price_band_old,tags
76,Amazon US,B0DPQ7P2VH,"32“ Cat Tree Tower for Indoor Cats - 2 Cozy Condos, Multi-Level Cat Scratching Posts with Sisal, Soft Padded Perch, 2 Dangling Toys, Light Grey",UYMI,UYMI-US,45.99,$44-$45.99,4.4,325,498,0.3795,22903.02,0.3331,height not shown,$30-49,"multi-level,condo"
77,Amazon US,B0F2SP5JMM,"Gitelsnour Cat Tree for Indoor Cats, 71’’ (180cm) Multi-Level Cat Tower for Large Adult, Sturdy Cat Tree House with 2 Scratching Boards 7 Posts, 2 Plush Perches/Condos, Hammock, Smoky Gray GCT032G",Gitelsnour,Gitelsnour Home,99.99,$98-$99.99,4.7,440,497,0.3788,49695.03,0.7228,height not shown,$80-119,"large-cat,multi-level,condo,hammock"
78,Amazon US,B01KNJVO7K,"Roypet 32' Cat Tree for Indoor Cats, 2-in-1 Cat House with Sisal Scratching Post & Ramp, 2-Level Cat Tower with Rotatable Feather & Ball Toys, Stable Grey Cat Condo for Small/Medium Cats, Grey",Roypet,Roypet,22.99,$22-$23.99,4.3,3497,486,0.3704,11173.14,0.1625,<36in small/kitten,$0-29,condo
79,Amazon US,B0BN9WC16P,"Yaheetech 70.5in Cat Tower, Multi Level Cat Tree Kitten Condo with 2 Condos & 2 Plush Perches & Scratching Post & Dangling Ball for Medium/Large Cats Dark Gray",Yaheetech,Yaheetech,55.99,$54-$55.99,4.6,10144,482,0.3674,26987.18,0.3925,65-74in large/multicat,$50-79,"large-cat,multi-level,condo,kitten"
80,Amazon US,B0FDVFBBMW,"KinoTail Cat Tree for Large Cat, 20.9 * 15.7in Large Perch Bed for Adult Cats, 22.8in Cat Tower with Scratching Post, Cat Condo with 2-Door for Indoor Cats, Dark Gray",KinoTail,OROPY Home,34.99,$34-$35.99,4.5,160,480,0.3658,16795.2,0.2443,<36in small/kitten,$30-49,"large-cat,condo"
81,Amazon US,B0DRVMY62Y,"FUKUMARU Cat Wall Shelves, 2 Platform Cats Walls Furniture, Tree Shape Kitten Floating Shelf with Soft Cushion Perch, Solid Rubber Wood for 16 Inch Drywall, Suitable for Climb, Play, Nap",FUKUMARU,FUKUMARU,53.79,$52-$53.99,4.6,641,477,0.3635,25657.83,0.3732,<36in small/kitten,$50-79,"wood/modern,kitten"
82,Amazon US,B0DZGKWPHX,"Max & Marlow Cat Tree Floor to Ceiling Cat Tower Height 95-108“ Adjustable Kitten Tree Tall Climbing Tree with Carpet Scratching Post and Mat Cat Pole for Indoor Cats,Light Grey",Max & Marlow,Amazon,36.61,$36-$37.99,4.3,1519,471,0.359,17243.31,0.2508,height not shown,$30-49,kitten
83,Amazon US,B0CLJKHG9G,Floor to Ceiling Cat Tree Height (50-120.5in) Adjustable Cat Tower 5 Tier Hemp Scratching Post High Cat Tree Sturdy Activity Tree Indoor Outdoor Cat Scratching Post Activity Center,TQEW,Bedoo cat,147.15,$146-$147.99,4.5,787,466,0.3552,68571.9,0.9973,75in+ oversized,$120+,
84,Amazon US,B0FSKJRDV6,"Globlazer Extra Large Cat Tree Tower, 82in Tall Heavy Duty Cat Tree for Indoor Cats Large Adult Big Cat Tower with 8 Scratching Posts, 2 Cat Condos, 2 Top Perches, 3 Hanging Baskets, S82, Beige",Globlazer,Globlazer,119.99,$118-$119.99,4.5,139,463,0.3529,55555.37,0.808,75in+ oversized,$80-119,"large-cat,heavy-duty,condo"
85,Amazon US,B0BTYDDKSP,"Modern Wall-Mounted Cat Furniture - 5pcs Cat Wall Shelves, Wooden Climber Includes House, Bridge, Tree, Steps, and Scratcher (Black)",ESOTTE,HONG KONG DING FUK LIMITED,49.99,$48-$49.99,4.3,951,440,0.3353,21995.6,0.3199,height not shown,$30-49,"wood/modern,modern"
86,Amazon US,B0F5M61JH8,"Globlazer XXL Giant Cat Tree, 83 Inch Heavy Duty Tall Cat Tower for Indoor Cats Large Adult, Multi-Level Large Cat Condo with 8 Scratching Posts, Hammock, 2 Cat Caves, 2 Platform, F83B, Dark Grey",Globlazer,Globlazer,119.99,$118-$119.99,4.6,211,414,0.3155,49675.86,0.7225,75in+ oversized,$80-119,"large-cat,heavy-duty,multi-level,condo"
87,Amazon US,B0DZCYDQGL,"Hey-brother Cat Tree, Cat Scratching Posts with Bed, Sturdy Tower with Fully Sisal-Wrapped Columns and Plush Toy Ball for Indoor Kittens, 18.9 inches, Smoky Gray MPJ010SG",Hey-brother,Hey brother,22.99,$22-$23.99,4.4,572,386,0.2942,8874.14,0.1291,<36in small/kitten,$0-29,kitten
88,Amazon US,B0DPQ6CJGK,"Feandrea Cat Tree, 65-Inch Tall Cat Tower, Multi-Level Condo with Cave, Basket, Hammock, Pompom, Scratching Posts, Almond Yellow UPCT118Y01",Feandrea,Amazon,69.99,$68-$69.99,4.5,81,380,0.2896,26596.2,0.3868,height not shown,$50-79,"multi-level,condo,hammock"
89,Amazon US,B0FF3JNFSZ,"17.1-inch Small Cat Tree Tower with Scratching Post for Indoor Cats,Grey",Psicway,Pwinner,24.99,$24-$25.99,4.6,83,378,0.2881,9446.22,0.1374,height not shown,$0-29,
90,Amazon US,B0F6NN73CM,"Keygarzone Multi-Level Cat Tree Tower for Large Cats with Scratching Posts, Condos, Perch, Hammocks & Toys, Cat Jungle Gym for Indoor Cats, Ideal for Multi-Cat Households, Dark Grey",keygarzone,KeygarZone,31.99,$30-$31.99,4.6,48,336,0.2561,10748.64,0.1563,height not shown,$30-49,"large-cat,multi-level,condo,hammock"
91,Amazon US,B0G2HB1MG4,"HITTITE Solid Wood Cat Tree Tower with Scratching Post, 53 Inches Tall Cat Towers with Scratching Board and Scratcher Ball, Modern Cat Tower with Space Capsule and Removable Top Bed for Indoor Cats",HITTITE,HITTITE,149.99,$148-$149.99,4.1,46,335,0.2553,50246.65,0.7308,50-64in mainstream,$120+,"wood/modern,modern"
92,Amazon US,B0CN93HYWV,"MUTTROS Flower Cat Tree, 28' Cat Tower with Cozy Flower Perch, Large Hammock for Indoor Small Cats, Cute Cat Tree with Sisal Scratching Post and Fur Toy Ball for Kittens, Pink",MUTTROS,CHPET INC,39.99,$38-$39.99,4.5,375,302,0.2302,12076.98,0.1756,<36in small/kitten,$30-49,"large-cat,hammock,novelty-flower,kitten"
93,Amazon US,B0F62T16TX,"FUKUMARU Floor to Ceiling Cat Tree, 6 Level Adjustable Height (6-10 ft) Climbing Tower with Thickened Scratching Posts, Cats Activity Center with Cozy Hammock - Beige",FUKUMARU,FUKUMARU,145.79,$144-$145.99,4.6,594,269,0.205,39217.51,0.5704,height not shown,$120+,hammock
94,Amazon US,B0D1FT6H65,"Hey-brother Cat Tree Tower, Scratching Posts with Removable Toys, Cozy Condo, Platform, Hammock, Sisal Scratch Board and Ball for Indoor Kittens, 41.3 Inches, Smoky Gray MPJ008SG",Hey-brother,Hey brother,39.99,$38-$39.99,4.2,485,267,0.2035,10677.33,0.1553,36-49in mid-small,$30-49,"condo,hammock,kitten"
95,Amazon US,B07Q2B3B89,"Feandrea Cat Tree, 37.8-Inch Cat Tower, Multi-Level Condo with Widened Perch, Scratching Posts and Ramp, 2-Door Cave, Hammock, Light Gray UPCT51W",Feandrea,Amazon,42.49,$42-$43.99,4.6,10258,251,0.1913,10664.99,0.1551,height not shown,$30-49,"multi-level,condo,hammock"
96,Amazon US,B0DRYD538R,Allewie 81 Inches Tall Cat Tree/Multi-Level Large Climbing Tree House and Towers for Big Feline/Condo and Hammock/Scratching Post/Wide Base/Dark Grey,Allewie,Amazon,99.99,$98-$99.99,4.6,495,228,0.1738,22797.72,0.3316,75in+ oversized,$80-119,"large-cat,multi-level,condo,hammock"
97,Amazon US,B0C4TK4W4M,"Yaheetech Cactus Cat Tree for Indoor Cats, 62in Cat Tower with Scratching Posts, Hammock & Dangling Ball, Multi-Level Condo Activity Center Furniture",Yaheetech,Yaheetech,47.48,$46-$47.99,4.5,351,216,0.1646,10255.68,0.1492,50-64in mainstream,$30-49,"multi-level,condo,hammock,novelty-cactus"
98,Amazon US,B0C74CH8T7,"Hey-brother Cat Tree, Cat Tower for Indoor Cats, Cat House with Large Padded Bed, Cozy Condo, Hammocks, Sisal Scratching Posts, Big Scratcher, Light Gray MPJ006SW",Hey-brother,Hey brother,39.99,$38-$39.99,4.3,2405,209,0.1593,8357.91,0.1216,height not shown,$30-49,"large-cat,condo,hammock"
99,Amazon US,B0D9M85Y5M,"CAPHAUS Cat Tower for Indoor w/Cat Wand Toy, Modern Cute 74-Inch Cat Tree w/Widened Perch for Large Cats Kittens, Multi-Level Cat Activity Tree w/Scratching Posts, Tunnel, Basket, Cat Cave Condo",CAPHAUS,Fencerwire,53.99,$52-$53.99,4.4,1549,208,0.1585,11229.92,0.1633,height not shown,$50-79,"large-cat,multi-level,condo,modern"
100,Amazon US,B0GCCQZ2PG,"Cat Craft Cat Tree 63 Inch Cat Tower for Indoor Cats, Multi-Level Cat Tree for Large Cats 20 lbs+ Heavy Duty Cat Tower with Sisal Scratching Posts, Hammock, Condo and Extended Platform, Dark Grey",Cat Craft,Amazon,56.99,$56-$57.99,4.6,123,168,0.128,9574.32,0.1392,50-64in mainstream,$50-79,"large-cat,heavy-duty,multi-level,condo"
